sentence	label
This salt is unique in texture and fun to use when salt is the star of a recipe or enhances a food dish.	1
What a way to treat yourself and relax. Hot or chilled, it's delicious !	1
The ideal popcorn salt. So finely ground that it adheres well to the popped corn, so i don't need much for perfectly salted popcorn.	1
Impossible whopper 4 hours after eating	0
This is really yummy tea that I love to make iced tea out of.  Hard for me to remember it doesn't have caffeine tho.	1
3 adults, including myself, are ON 2/9/20 in the evening around 7pm.	0
Bought 2 hamburgers. Which either was not cooked properly, or was serving bad meet 2 people in my house hold got sick from eating this. 1 symptoms didn't last long. The 2nd case was part through the night and part of the day	0
2/13/20, my husband and I had it around 6:30 pm. I had the #6 with no sprouts and no tomatoes on thick sliced wheat bread and he had the italian night club. 5 hours later, I developed severe nausea, vomiting, diarrhea. My husband developed severe nausea and diarrhea. We both were likely very dehydrated as we had reduced urine output, light headedness, dizziness.	0
french onion soup Two got sick. I started feeling sick almost immediately but it subsided until i got home and i threw up right away about 1 hour later and. I had diarrhea all that night and all the next day. My husband suffered the next day by having blood and mucus in his stool and an urgency to go.	0
Eating a salad My girlfriend ate a salad with multiple toppings but it's what she usually eats every day. But yesterday she threw up not long after eating it all and has had upset stomach ever since. Her stomach felt worse the next day and she even says she's experiencing stomach cramps.	0
got last night around 830ish pm. Got chicken nuggets and fries. Shortly around 45 minutes to an hour later I started feeling sick and diarrhea started right away. as I started to lay in bed I started feeling worse and feeling weak and shaky. Now idk if its from what I ate But I was fine until afterI ate so..	0
Me, my 3 year old son, and my 1 1/2 year old daughter believe we had gotten food poisoning from the macaroni and cheese or dirty utensils. Our visit took place on Saturday the 22nd of Feburary. Much of the food was mishandled and at dangerous temperatures. The cups were disgusting. We had notified aworker of these nasty cups.	0
We love Jammin' Lemon Ginger Tea. It has just the right blend of lemon and ginger kick. My daughter and I often make a pot in the afternoon as homework and housework wind down.	1
I can't even describe how much I love Maldonado Sea Salt Flakes. It crumbles up so nicely in my fingers  and gives every dish a wonderfully, salty zing. How did I ever live without it?!	1
Both my husband and i were food poisoned after eating a fillet o fish burger each Both my husband and i ate a fillet o fish burger on Monday the 17th of February. My symptoms started about 2 hours after eating and my husbands symptoms started about 6 hours after eating. I have been vomiting and have had diarrhea. I've been very sick since and am only feeling better now with a little bit of nausea still happening. My husband has had vomiting,diarrhea, cramps in his stomach and now he is constipated. He still feels ill. Doctor has confirmed it was from the fillet o fish we ate	0
If you love cinnamon red hots, this is it in liquid form.I make iced tea; it is not for the faint of heart and very unique.	1
Very nice tea that does relax you. I brew the tea in a small amount of water for a short time and then add it to a large amount of ice cold water with chia seed. The texture and taste is excellent. They hydrating and healthy mixture is a nice afternoon snack on a warm day.	1
I tried this tea at a friend's house. I really love the flavor...hot or cold. I looked for it in all of my local stores. It was either out of stock or no longer carried it. Amazon came through! I highly recommend it!	1
